,fold_0,fold_1,fold_2,fold_3,fold_4
a10_33-0400000000_jpg.rf.c573c5f968bacdc6b689edc8084a9b1b.jpg,False,False,False,True,False
409-6-0200000009_jpg.rf.e15cc84b8c1592074754c2862a76f855.jpg,False,False,True,False,False
a10_3-0400000000_jpg.rf.c6e620ebd32ee7cc3b4e45c7fd475b2e.jpg,False,False,False,True,False
gt1_p_test2-0400000008_jpg.rf.d0e8b51c94251da08ae56bbc3d24f712.jpg,True,False,False,False,False
a10_38-0400000000_jpg.rf.fc00b01be0b1ae2a315adc5f6fd8bfb5.jpg,True,False,False,False,False
a10_15-0400000000_jpg.rf.d726dfce86fdfc37dd7082b4b361cc84.jpg,True,False,False,False,False
a10_33-0200000000_jpg.rf.fae3702a417fa2cb55f6f9e3e31eeb8e.jpg,False,False,False,True,False
448-1-0200000009_jpg.rf.f3efda1c615da272ac23633d3815a21a.jpg,False,False,False,True,False
a10_54-0000000000_jpg.rf.f020b7804d97b63f30848c550d17e58e.jpg,False,False,False,True,False
a10_55-0100000000_jpg.rf.e8b539790eed163d15594a0513adc2f7.jpg,False,False,False,False,True
a10_57-0300000000_jpg.rf.f1cb7cdf381f55c043e790b58ed59c3c.jpg,False,True,False,False,False
402-2-0400000008_jpg.rf.f3c815562becc12857b6e5c606e4dbff.jpg,True,False,False,False,False
154-1-0000000009_jpg.rf.f0575ab0aaeba9381e344e3d8a79eb6d.jpg,False,False,False,False,True
a10_54-0300000000_jpg.rf.f045168ea46c22af2f852379907490c1.jpg,True,False,False,False,False
a10_14-0300000000_jpg.rf.eb3db60059e5a41bd3f8bbcbc2dd5211.jpg,True,False,False,False,False
ra3gt1_4_-0100000000_jpg.rf.ee1f93f83c1a676384567df30437f420.jpg,True,False,False,False,False
a10_15-0200000000_jpg.rf.ea5bd6d3a48773e192d453563cf63a46.jpg,False,False,False,True,False
159-2-0300000008_jpg.rf.f0ca66d13216289edb916df4063a62dc.jpg,False,False,False,False,True
a10_5-0000000000_jpg.rf.f1100cf079a4c5a8b2352cebd91b7779.jpg,False,True,False,False,False
159-4-0200000008_jpg.rf.f15fa53f749429de7df62b785c6b4144.jpg,True,False,False,False,False
gt1_p_test2-0100000009_jpg.rf.f036bb02c721d2935ba87934c39b3060.jpg,False,False,True,False,False
448-2_tassel-0400000009_jpg.rf.f132b96803d13f7cc13dbbdff79ef356.jpg,False,False,False,False,True
447-7-0300000009_jpg.rf.eec86c8e5607ab7f2feb93fed7d06951.jpg,False,False,False,False,True
a10_41-0400000000_jpg.rf.f4ae45af71347e2886aca695ec0eb3f1.jpg,False,False,False,True,False
158-8-0500000009_jpg.rf.f530ac41a05906cd026f22f1fabdfa51.jpg,False,False,False,False,True
158-8-0500000000_jpg.rf.ea574447aa6329d9afaba991cf6d9e4d.jpg,False,False,False,False,True
159-8-0500000008_jpg.rf.ed9a2180736fffebe62b96101b5bd9db.jpg,False,False,False,True,False
ra3_ds_14_0200000000_jpg.rf.efeedbc2921e28433f7a75055ffc8404.jpg,False,False,True,False,False
158-8-0500000009_jpg.rf.f40d2f855ab85e833bbf1a5043de8dc6.jpg,False,False,True,False,False
A10_18_0500000006_jpg.rf.f06489d96cc9ac059f7f1989a883e802.jpg,True,False,False,False,False
a10_1-0500000000_jpg.rf.f6c704d91536e1904fc7701acc046fc5.jpg,False,True,False,False,False
a10_5-0400000000_jpg.rf.f627883e3913504ef649f9c3496dd745.jpg,False,False,True,False,False
gt1_p_test3-0700000000_jpg.rf.f01e61303f1291d33ccc2858730b2173.jpg,False,False,False,False,True
A10_1_0400000000_jpg.rf.ea90691f2d4276f628dc5361f14e1284.jpg,True,False,False,False,False
154-3-0000000008_jpg.rf.f0ecb32377f712fa6601b20cf28c124e.jpg,False,False,True,False,False
a10_15-0300000000_jpg.rf.fc9fa653aef94e4b143ce35c39967bc9.jpg,False,True,False,False,False
a10_59-0300000000_jpg.rf.f816f3e14f559ecda9ec89dd545494fa.jpg,False,True,False,False,False
154-6-0700000009_jpg.rf.f9139aeddc950cc264cb9ae6cda7738d.jpg,False,False,False,True,False
a10_55-0000000000_jpg.rf.fba7c40ab39235d3880db2f6ce0fe272.jpg,False,False,False,False,True
154-4-0200000009_jpg.rf.fa354f1173fc7384c75f2b6a26b570ed.jpg,False,False,False,False,True
ra3_gt1_2_-0400000022_jpg.rf.f3296df53b3a6232ab2ba9b48c8af379.jpg,False,False,False,False,True
154-2-0800000009_jpg.rf.f61312f10b62e8d0e5437c3fbb908642.jpg,False,False,False,True,False
a10_37-0400000000_jpg.rf.fd005540018165c1dbd83a2ec31e130c.jpg,False,False,True,False,False
158-2-0400000000_jpg.rf.fdf91fcbf184afbdae40cac1fbf474ad.jpg,False,False,False,False,True
a10_42-0200000000_jpg.rf.fdd4feea22f92b231df1a81f4ef25c87.jpg,False,True,False,False,False
158-8-0000000009_jpg.rf.fe181f3fc94fd56e3885d4f0f47e58b9.jpg,False,False,False,False,True
ra3_46_test-0500000000_jpg.rf.fd53fb1b202a74af675938c04f583041.jpg,False,False,False,False,True
gt1_p_test2-0100000009_jpg.rf.fdf98b93cacdc409b4c1cde564834fa7.jpg,True,False,False,False,False
154-1-0400000008_jpg.rf.01dc43f44420f0e5aea15e7f0678e338.jpg,True,False,False,False,False
a10_37-0300000000_jpg.rf.00f5c00f8361f94a01d9fa3c4639a6a6.jpg,False,True,False,False,False
154-1-0200000008_jpg.rf.0312ca36e62e2ed7094b61017851b7b1.jpg,True,False,False,False,False
ra3_ds_10_0300000000_jpg.rf.013d9f725a07d4f8d59faca0cd58539a.jpg,True,False,False,False,False
448-8-0100000009_jpg.rf.036d71ff4b55b9fa7aa5986dec9bdff5.jpg,False,False,False,True,False
154-8-0400000000_jpg.rf.046f734668107f05944e4a6496f2915b.jpg,False,False,False,False,True
a10_6-0100000000_jpg.rf.04736f9ee31c16050b41f5a0cd656c9a.jpg,False,False,False,False,True
a10_40-0000000000_jpg.rf.087cc2e4831f53ed4fc7abea4e15b8de.jpg,False,False,False,False,True
a10_38-0100000000_jpg.rf.05f960715db0890532ffe3a7fddd4e2d.jpg,False,False,True,False,False
155-6-0400000008_jpg.rf.060298d18af5a22365656e2836ad2a91.jpg,False,False,True,False,False
gt1_p_test2-0200000009_jpg.rf.075cb34ef7c8dd0cb4e423dbacc3f40b.jpg,False,False,False,True,False
a10_57-0400000000_jpg.rf.08df2fe0e477895513a2414f49057a2e.jpg,False,False,False,False,True
a10_16-0300000000_jpg.rf.03d444f26a9f7f5dfe3e112904170464.jpg,False,False,True,False,False
159-8-0200000008_jpg.rf.08a7749e610e5c0f69c4553f08ffca56.jpg,False,False,False,True,False
gt1_p_test3-0600000008_jpg.rf.0acf8461d09df8b61ac8106df3a13d5b.jpg,False,True,False,False,False
447-5-0400000009_jpg.rf.09ce808ba5107b2ee06142c0d5c3cea0.jpg,False,False,False,True,False
a10_42-0000000000_jpg.rf.0aeb0b21e8709bb78aa7eb091c39108a.jpg,False,False,True,False,False
a10_12-0200000000_jpg.rf.0b7b641f571a01227121ed81cd215b1f.jpg,False,False,True,False,False
a10_8-0400000000_jpg.rf.0bf4b305f9fb39d5ae21780b30798cff.jpg,False,False,False,False,True
gt1_p_test2-0500000009_jpg.rf.0ad3b596027941c5183feb539af26aa6.jpg,False,True,False,False,False
a10_54-0200000000_jpg.rf.0d14038c749a3d55005ea58cfe0c7373.jpg,False,False,False,True,False
a10_4-0300000000_jpg.rf.0cc95c1a07dc045c0f7d7637f5a582f5.jpg,False,True,False,False,False
159-4-0300000008_jpg.rf.0d8fb1f43e4304a803de44bbb6b873ae.jpg,False,False,True,False,False
a10_16-0200000000_jpg.rf.0dd036510f01634ff249d7f8c101717c.jpg,False,False,False,False,True
ra3_gt1_1_-0300000008_jpg.rf.0f8510a1fad6cdf83247ee0882a29906.jpg,True,False,False,False,False
gt1_p_test3-0400000008_jpg.rf.0e1f34fed3a2914f04a7e6428ebd819b.jpg,False,False,True,False,False
a10_3-0000000000_jpg.rf.0e2bfc6d41bc2b4d30b6004b24d28b29.jpg,False,False,False,False,True
159-6-0200000008_jpg.rf.1008628e2822d9f7301c8f38937b90a8.jpg,False,True,False,False,False
a10_9-0400000000_jpg.rf.1180991906aa34b769145a1715e3fb33.jpg,False,False,False,True,False
a10_10-0400000000_jpg.rf.11bba2ecb3462a156e3ea6e2e58a166d.jpg,False,True,False,False,False
154-10-0300000009_jpg.rf.10d4520458cc6033564af0a3e00e5124.jpg,False,False,False,False,True
gt1_p_test1-0100000009_jpg.rf.1487371b70b641d851337508ed465504.jpg,False,False,False,False,True
a10_60-0000000000_jpg.rf.11aae3d472e674778b8868ee77c77946.jpg,False,True,False,False,False
155-6-0400000008_jpg.rf.13917c341ce24b7baf43c6dd4717644b.jpg,False,False,False,False,True
gt1_p_test2-0300000008_jpg.rf.135b374b7a78dc3fd35cf854ed8ebcab.jpg,True,False,False,False,False
159-8-0800000008_jpg.rf.16bd8e823456a3dcd00a10ae895e1a3b.jpg,False,False,False,True,False
154-6-0600000000_jpg.rf.1200105b3d798b3cdb60a7dd614ec70b.jpg,False,False,True,False,False
154-1-0700000008_jpg.rf.17f025d411e0bcaed358d0c2178c235f.jpg,False,False,False,True,False
a10_1-0300000000_jpg.rf.18016a5cc09725bced9f1a05553886a6.jpg,False,False,False,True,False
ra3_ds_14_0200000000_jpg.rf.19d39da9f1a1bc28e8620f3812e794b0.jpg,False,False,False,True,False
ra3_46_test-0000000000_jpg.rf.17fc50b39de8baf528472f9713a944d8.jpg,False,False,False,False,True
ra3_ds_10_0300000006_jpg.rf.1bb7d891e4c72a573ae66623ac232fb8.jpg,False,True,False,False,False
gt1_p_test3-0300000008_jpg.rf.19f7d8d9a274902d71583e881648ecb5.jpg,False,False,True,False,False
448-8-0300000008_jpg.rf.1b2d418e65988088a0c76050effd3ed5.jpg,False,False,False,True,False
ra3-8_0200000006_jpg.rf.1c65b21fcdfc55d87a6d5840b294c8ab.jpg,False,True,False,False,False
gt1_p_test3-0500000008_jpg.rf.1c64e3d30dfda99a1341dc0f5de913d4.jpg,False,False,False,True,False
158-2-0000000009_jpg.rf.168d87251edb3425e34d0f1f4218b543.jpg,False,False,False,False,True
154-2-0000000009_jpg.rf.175f41675537e154bb236ada5dd35dcf.jpg,False,False,True,False,False
gt1_p_test3-0100000008_jpg.rf.1c0f105204cb880e40357022fa9e3dbe.jpg,False,False,True,False,False
154-3-0000000008_jpg.rf.19cfb3aa38fe19448ee1a4dc4d644732.jpg,False,False,False,False,True
a10_40-0000000000_jpg.rf.1bff46c8e4d3c1f8dd3a526fc189373e.jpg,True,False,False,False,False
154-2-0300000009_jpg.rf.1e08551d0e919e5b30e2aa4623ef18e2.jpg,False,False,False,False,True
158-4-0000000009_jpg.rf.1dbd6ee820c249e55832a8e18e6f2716.jpg,False,False,False,True,False
gt1_p_test2-0000000009_jpg.rf.1e76c7b1f1a2bf01dc9adf7534154db7.jpg,False,False,True,False,False
gt1_p_test2-0500000008_jpg.rf.1cb086ffe839ba37e91fe3d8dae1d141.jpg,False,True,False,False,False
ra3_67-0200000000_jpg.rf.20504df7584c414bce29d5f1d6659ce0.jpg,True,False,False,False,False
a10_5-0000000000_jpg.rf.1f8c74c74cb45092409c7574f47334cd.jpg,False,True,False,False,False
447-8-0800000009_jpg.rf.1fe97ec8cc52897f5ba61cd2deff830e.jpg,False,True,False,False,False
A10-16_0100000006_jpg.rf.1c905d69891bf099a9054a8c1cf3b422.jpg,False,False,False,True,False
159-8-0700000008_jpg.rf.1e7d456210002d682153c14afdd02657.jpg,False,False,False,True,False
a10_55-0200000000_jpg.rf.20d2ba276ccf0559acaa05ee7d49cc13.jpg,True,False,False,False,False
a10_12-0100000000_jpg.rf.21884d318765376667f20bbb6b01c6c2.jpg,False,True,False,False,False
a10_11-0400000000_jpg.rf.25c4870d63877b243ef8ab839f7ca08c.jpg,False,False,False,True,False
a10_2-0200000000_jpg.rf.279a33854f77d680a9c03e80695a995f.jpg,False,False,True,False,False
a10_6-0400000000_jpg.rf.2870c19c17702317d76e9db1cbefc7ca.jpg,False,True,False,False,False
154-1-0800000008_jpg.rf.23a80170c653bc16ac5d83bae754347c.jpg,False,False,False,False,True
154-1-0600000008_jpg.rf.289da53cc144268d57ac330fbe22352c.jpg,False,False,True,False,False
A10_1_0400000006_jpg.rf.2764361c71bb66dcd6c17bbfd54814cf.jpg,False,False,False,False,True
a10_58-0000000000_jpg.rf.29a770e5b01af1334685753bd73e3c16.jpg,False,False,True,False,False
a10_5-0200000000_jpg.rf.294c8fbedf0cb66d2d5fc2fbed20d9a6.jpg,False,False,False,True,False
gt1_p_test2-0700000008_jpg.rf.2e7abf5dd3d9e662abde8bbba0af8af2.jpg,True,False,False,False,False
a10_53-0100000000_jpg.rf.29bf84893cae8fdbc722e346d61f3d29.jpg,True,False,False,False,False
a10_7-0100000000_jpg.rf.2e7e0f59fafcd33d3b3c42d4b2272a10.jpg,True,False,False,False,False
a10_16-0400000000_jpg.rf.308f6337bf29971222498613a482e493.jpg,False,False,False,True,False
gt1_p_test3-0700000008_jpg.rf.293cfc76f1c61ed7dea746b1b0a3cbca.jpg,False,False,False,False,True
a10_60-0400000000_jpg.rf.30f64d3fe12c52c1ee3003ffd510a1a6.jpg,False,False,True,False,False
a10_8-0400000000_jpg.rf.2f17a744a119ebe6d5d111c5518e005c.jpg,False,True,False,False,False
A10_7_0300000000_jpg.rf.3095ebfc83936fe7d1f2ea6c8af702ef.jpg,False,False,False,False,True
a10_40-0200000000_jpg.rf.2f4c3b51eef2fc88f115602fb237b8a6.jpg,True,False,False,False,False
a10_6-0000000000_jpg.rf.3273832926c3a9bbdb96b281830b56c5.jpg,False,False,False,False,True
448-4-0400000009_jpg.rf.32fe92a592fd9b66251c367da976c626.jpg,False,True,False,False,False
gt1_p_test3-0500000009_jpg.rf.33f5f0936bcc02f205ec340550f2aea5.jpg,False,False,True,False,False
154-1-0400000009_jpg.rf.315a35b9421fa9c7b2ce0126beedf057.jpg,False,False,False,True,False
gt1_p_test2-0000000009_jpg.rf.30c1637d32c98279cc4239d26917094e.jpg,False,False,False,False,True
154-1-0800000009_jpg.rf.355bd6da859e9d4e946f8f7ddf53401a.jpg,False,False,False,True,False
gt1_p_test3-0400000009_jpg.rf.37291e49a36bb2cd45803252241ab384.jpg,False,False,False,False,True
a10_2-0400000000_jpg.rf.359f498b9b49af99bff0e738066baed0.jpg,False,False,True,False,False
a10_38-0000000000_jpg.rf.3454f3218ed1f6b240a90201802b03e0.jpg,False,True,False,False,False
154-1-0100000008_jpg.rf.37c4c407319a3c2d09b648b6ecca3269.jpg,False,False,False,True,False
gt1_p_test2-0400000009_jpg.rf.37376989723a21aa2abad3880dfae526.jpg,True,False,False,False,False
ra3gt1_3_-0600000012_jpg.rf.36df588c3c6cfbe2365e5d0c914ff466.jpg,False,True,False,False,False
a10_15-0200000000_jpg.rf.34916531459fa2379a1bb5a41d30da85.jpg,True,False,False,False,False
a10_8-0300000000_jpg.rf.3665c092301c9266d6f1384f9f835b24.jpg,False,False,True,False,False
a10_9-0100000000_jpg.rf.39fe345f9064c55ef0ce92509985557e.jpg,True,False,False,False,False
gt1_p_test3-0000000008_jpg.rf.391366273fd2920fca495580878b3dec.jpg,False,False,False,True,False
ra3_gt1_1_-0700000002_jpg.rf.3a3656f644abfaa97c32683b4168ee5e.jpg,False,True,False,False,False
154-1-0900000008_jpg.rf.3e4f56b99ab4508b6ff29e2136f3b740.jpg,False,False,False,True,False
gt1_p_test2-0700000009_jpg.rf.3679ad9a81696f4f771ba0b34debf6a2.jpg,False,False,True,False,False
a10_54-0300000000_jpg.rf.3c496b9691e036b7471d315a64e7cd9b.jpg,False,False,False,False,True
gt1_p_test1-0100000000_jpg.rf.3ef7cb3538e12d3442093cd6dde0760a.jpg,True,False,False,False,False
159-4-0500000008_jpg.rf.3eb868a31c582ab883f57606b1085362.jpg,False,False,False,False,True
a10_40-0200000000_jpg.rf.386d3bff0add00de893c4a90c5c1196f.jpg,False,True,False,False,False
a10_6-0400000000_jpg.rf.3ea31cc12494db063868186caf8f3858.jpg,True,False,False,False,False
155-6-0300000008_jpg.rf.40319754128f0ee0979d2be863666f96.jpg,False,False,False,False,True
a10_43-0300000000_jpg.rf.40fefb83cc305666413ca42e34bc46a8.jpg,False,False,False,True,False
a10_53-0300000000_jpg.rf.425e571ff2073300143c8283b062474c.jpg,False,False,False,False,True
gt1_p_test2-0300000000_jpg.rf.468eec32906f584f6668860cf58a621f.jpg,True,False,False,False,False
gt1_p_test1-0100000009_jpg.rf.40e06d618af843e9b466c07c7cc908b0.jpg,True,False,False,False,False
a10_33-0000000000_jpg.rf.43236039921a238e1aa09f93b53a12a6.jpg,False,True,False,False,False
158-8-0500000000_jpg.rf.4400686d422834ac3f9aba0504f6a88a.jpg,False,False,False,False,True
154-2-0200000009_jpg.rf.468f9ed8f5e6e757f51e0e877d5db13b.jpg,True,False,False,False,False
447-8-0800000009_jpg.rf.47613ba083c6beda367a5bb3d6bed422.jpg,False,False,True,False,False
gt1_p_test3-0600000000_jpg.rf.45fdba2ab3509904c0e2f7b0a496722d.jpg,False,False,True,False,False
a10_12-0300000000_jpg.rf.459ebfa8a13ae52e09fef7b158f184a3.jpg,False,False,True,False,False
a10_11-0100000000_jpg.rf.4470fce02dcba6a24f977596b04e26d2.jpg,False,False,True,False,False
a10_42-0200000000_jpg.rf.47c48aa285c4aa6d509cc5bab2432266.jpg,False,False,True,False,False
154-6-0600000000_jpg.rf.489431fc18078a1fb7285958e5e9fe49.jpg,True,False,False,False,False
a10_5-0300000000_jpg.rf.4770b313edc8e6683210f8a09c4103b0.jpg,False,False,True,False,False
a10_44-0300000000_jpg.rf.436b6258b3c34e64479c6ab3945bced2.jpg,False,False,True,False,False
ra3-4_0200000006_jpg.rf.440caa81e520644cdc0e1b2f5d7590a9.jpg,False,True,False,False,False
447-8-0300000009_jpg.rf.47d2eb132bb5a363f828a3fd46aac76e.jpg,True,False,False,False,False
ra3_68-0200000000_jpg.rf.4a5154e346d02f2ababa3877ac9545a6.jpg,False,False,False,True,False
a10_2-0400000000_jpg.rf.41e934279f71025eca2e7746cbc33a6c.jpg,False,True,False,False,False
gt1_p_test3-0600000000_jpg.rf.49792461c9e9796734416162e00299b4.jpg,False,False,False,True,False
a10_39-0100000000_jpg.rf.4bbef173223dc1cf5b5ffa9f7de0a355.jpg,False,False,False,True,False
154-2-0300000000_jpg.rf.4bf6b8ba370ea5d1258f9e8d86ff8881.jpg,False,False,False,False,True
a10_42-0300000000_jpg.rf.47185933da1643e773af1833bc7929b2.jpg,False,False,False,False,True
159-8-0600000008_jpg.rf.4a2cad0a3aaa2e4920b5873fa3039067.jpg,False,True,False,False,False
159-2-0300000008_jpg.rf.4c177776c7c8dfaeb5d2da5b98968f9a.jpg,False,False,True,False,False
ra3gt1_4_-0500000000_jpg.rf.4c2bdfe5ed6093ea45f6bddfab8ee2dd.jpg,False,False,False,True,False
154-8-0300000009_jpg.rf.4d3353956adda204875c5aa884b80e42.jpg,True,False,False,False,False
ra3_ds_10_0300000006_jpg.rf.4d8c947d988b6d4ed0e34dd5db448852.jpg,False,False,False,True,False
a10_10-0100000000_jpg.rf.4e8480db510f772b93726e8290f9d469.jpg,False,False,False,True,False
158-4-0100000000_jpg.rf.4e3dae4b278295e0aa15c80b12e62ff5.jpg,False,False,False,False,True
gt1_p_test3-0300000009_jpg.rf.4c25d586a7420d375c013332b14f3784.jpg,False,True,False,False,False
a10_53-0300000000_jpg.rf.5184a2d1150cb10bb2d9560680e9c77b.jpg,True,False,False,False,False
ra3_ds-1_0100000006_jpg.rf.522bd1f64fd3ca355a9e066ca3c95e2a.jpg,False,False,True,False,False
a10_54-0400000000_jpg.rf.505dbffafef386d330960e789e291394.jpg,True,False,False,False,False
158-2-0000000009_jpg.rf.53d6e221305f947329314197c853596f.jpg,False,True,False,False,False
A10-16_0100000000_jpg.rf.53e8d9534145f8351458d1a319c95ff4.jpg,False,False,False,False,True
gt1_p_test3-0600000008_jpg.rf.523912b16b726ad2837a5c81bfff20a6.jpg,False,True,False,False,False
a10_8-0300000000_jpg.rf.4ebb46afef013d175f46003be19d7c78.jpg,False,False,True,False,False
154-1-0400000008_jpg.rf.546b0f0c567152ac459339307d240f28.jpg,True,False,False,False,False
a10_1-0500000000_jpg.rf.55d2d4cf472661a123209ca554932d87.jpg,False,True,False,False,False
a10_39-0200000000_jpg.rf.538527ed6929f16125dc79d072b7e1ae.jpg,True,False,False,False,False
154-1-0500000008_jpg.rf.556efa0ccb611b89469edb6ce57ae63c.jpg,False,False,False,False,True
159-8-0700000008_jpg.rf.53b88f82889b367ff83f8b3ca4841d59.jpg,False,False,True,False,False
a10_16-0300000000_jpg.rf.559348f92f384ee50a5cc0fc4026a852.jpg,False,False,True,False,False
a10_56-0400000000_jpg.rf.571db344f6c073273ed2acada1e2f4f5.jpg,False,False,True,False,False
154-1-0500000009_jpg.rf.58932e638f678e1f01b2186f0dc454c2.jpg,False,False,False,True,False
447-8-0200000008_jpg.rf.5631a5eb00e0171ce18f2d886bea1136.jpg,False,False,False,False,True
154-6-0700000009_jpg.rf.567d38cc47ce4059620998365daabdb0.jpg,True,False,False,False,False
A10_18_0500000000_jpg.rf.58b14f33bf6b0b1faa2f0237f2711353.jpg,False,True,False,False,False
a10_10-0400000000_jpg.rf.584c14fb85c040252ab9405fd5bf57cd.jpg,True,False,False,False,False
154-1-0900000009_jpg.rf.5a4faf8d89d08fd1acc83a77d75820d3.jpg,False,True,False,False,False
a10_1-0100000000_jpg.rf.57122d291884785f8561beaf00cfba6d.jpg,False,False,True,False,False
ra3-8_0200000006_jpg.rf.5901991d8087a63df71754ed34fe1906.jpg,False,False,False,True,False
ra3_gt1_2_-0100000018_jpg.rf.59eb36c3c00e62ddf4e3daf90870af7a.jpg,False,False,False,True,False
ra3_gt1_1_-0700000007_jpg.rf.5bbd25f109e5e81c71ba1b1ae23cec2d.jpg,False,False,False,True,False
A10_1_0400000006_jpg.rf.5a9b598700a04e7b398e807db9937437.jpg,False,False,False,False,True
154-1-0800000008_jpg.rf.58fed10574d1ec405634a308176b0642.jpg,False,False,False,True,False
A10-16_0100000000_jpg.rf.594d8f9644a13504856761c65ae1f137.jpg,False,False,False,True,False
a10_54-0200000000_jpg.rf.5bc005f7e0d23ed6725c24db8ea3a8a1.jpg,False,True,False,False,False
A10_7_0300000000_jpg.rf.5a7fd4c012ae4d90412f984b0acbf35b.jpg,False,True,False,False,False
gt1_p_test3-0300000008_jpg.rf.5db49a4ed029ceb8f3836ced61d357cb.jpg,True,False,False,False,False
ra3gt1_4_-0500000000_jpg.rf.5d71667cff0f3abc54077711b38413f3.jpg,False,False,True,False,False
gt1_p_test2-0300000009_jpg.rf.5e948236f87d110cac3ad91236d82680.jpg,False,False,True,False,False
ra3_gt1_1_-0700000007_jpg.rf.5e2a99e325cbf2a87a74789fb74179ec.jpg,False,True,False,False,False
154-10-0000000009_jpg.rf.616b8cb8b656916107817380f769f7c5.jpg,False,True,False,False,False
ra3_gt1_2_-0100000018_jpg.rf.62ead67caf51b74959a043aa7e52b744.jpg,False,False,False,True,False
ra3_ds-1_0100000000_jpg.rf.617db333ab41d9b4cc173799223f3a7c.jpg,True,False,False,False,False
159-8-0600000008_jpg.rf.627b790ce33528e6da0f01060797938d.jpg,False,False,True,False,False
