"","row_labels","PC1","PC2","PC3","PC4","...1","Unnamed: 0","image_id","planting_date","genotype","treatment","pistil_area","pistil_circularity","bbox","segm","confidence","center_x","center_y","perimeter_intersect","possible_overlap","scan_position","scan_angle","plant_id","total_scans_for_sample","y_pos_all_overlapped","y_pos_all_overlapped_len_standardized","mask_id","year","plant"
"18","mask_1004_12",1.20683086893256,1.78117994208107,0.240492986772956,0.787952207446493,1004,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-4~0100000008.jpg","early_planting","tb1","no_treatment","554","0.7308663701121194","[[526.451   339.96713 547.6269  380.63058]]","{'size': [672, 1008], 'counts': b'hUj:a0]d08I5L1O2N101N1000O100O2N2N3M3M2M3M4L5IdU^9'}","0.9726812","536.5","312.0","False","False","01","08","273-4","09","358.0","0.05327380952380952","mask_1004",24,"tb1_273-4"
"19","mask_1005_1",-0.602581946727384,-2.71083751824714,-0.357193585752382,1.47973725431421,1005,13,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","1140","0.854264034214874","[[410.21442 311.90414 443.16675 362.60812]]","{'size': [672, 1008], 'counts': b'eQ^8<]d0;I4M3M3N2N1O1O1O1O1O2O0O100O010O10000O10O100O1O1O2N1N5K7G:EjSc;'}","0.9273973","426","333.5","FALSE","FALSE","4","8","158-4","6","1401.5","0.297831632653061","mask_1005",21,"gt1ra3B73_158-4"
"20","mask_1005_12",1.87208642577484,1.26143257720526,-3.87161256547268,0.310250841263418,1005,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-4~0600000008.jpg","early_planting","tb1","no_treatment","1763","0.8298014438065486","[[573.64404 270.57678 612.12225 332.7336 ]]","{'size': [672, 1008], 'counts': b'^oh;f0Td09I6K4M2N3N1O101N1000000O1N2N2O1O1O1O10000001O1O1O1O1O1N2N2N2L3N3K5L5K6GUXT8'}","0.9874307","592.0","370.0","False","False","06","08","273-4","09","2324.0","0.3458333333333333","mask_1005",24,"tb1_273-4"
"21","mask_1006_1",0.337833625905535,-2.05338131058954,1.94619395980526,-1.76835519014384,1006,14,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0400000008.jpg","early_planting","gt1ra3B73","no_treatment","1918","0.802562877117172","[[342.47882 330.76144 381.48718 398.86655]]","{'size': [672, 1008], 'counts': b'_^Q7i0Rd06L4M3M3M2N2N2O1N2N2O2N101N1O1O101N1O010O10000O0100O011N1O3M3M3L4L5K5K5K7GoSk<'}","0.8947933","361.5","306","FALSE","FALSE","4","8","158-4","6","1264","0.268707482993197","mask_1006",21,"gt1ra3B73_158-4"
"22","mask_1006_12",-1.95105370218732,-0.496620416543581,3.35018146585837,0.274131278724151,1006,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-6~0300000008.jpg","early_planting","tb1","no_treatment","2758","0.7930268631342411","[[559.14044 162.82948 603.72174 239.9845 ]]","{'size': [672, 1008], 'counts': b'mQ_;8Zd0c0D8H9I6K5M2N2N2N2N2N2O2M2O1O1O100O010O1000000000O100O100O100O2O0O2O1O1O2M3N2N4K5K6J7FScY8'}","0.9777232","580.5","470.5","False","False","03","08","273-6","06","1616.0","0.3435374149659864","mask_1006",24,"tb1_273-6"
"23","mask_1007_1",4.06391884724668,-0.599639519281427,-0.89579145000749,1.1069944770991,1007,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","1464","0.606077304831616","[[405.80396 250.04408 440.0289  321.78964]]","{'size': [672, 1008], 'counts': b'dgZ85dd0:I5L4M3M2M4M2O1N3N1N2O1N2N2N2M3L4M3M3O1N2N2O1O01N2N2M4I7H9G<H:EhTe;'}","0.9862278","422","386","FALSE","FALSE","5","8","158-4","6","2050","0.435799319727891","mask_1007",21,"gt1ra3B73_158-4"
"24","mask_1007_12",-1.61189937477026,-1.67327483958656,0.138859422031347,-2.4069445833847,1007,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-6~0300000008.jpg","early_planting","tb1","no_treatment","565","0.9059572131152637","[[452.35602 297.9957  476.6625  330.4041 ]]","{'size': [672, 1008], 'counts': b'abY9f0Yd02N1O100O1O100O101O01O001O1O1O1O1N2N2O2N2M3J[jl:'}","0.90954816","464.0","358.5","False","False","03","08","273-6","06","1168.0","0.24829931972789115","mask_1007",24,"tb1_273-6"
"25","mask_1008_1",1.77296534131182,4.05130871996667,-1.51912328905512,-1.64314960908635,1008,3,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","1463","0.784812348314667","[[310.79675 233.0276  351.55814 291.5388 ]]","{'size': [672, 1008], 'counts': b'co\\6`0\\d0:I4L2O1O1O2O2M2O1N2N2N2N100O00100O0100O1O002N1O1O1O1O001O1O1O1N3N3L6I7I5Hea_='}","0.9796606","330.5","408.5","FALSE","FALSE","5","8","158-4","6","2185","0.464498299319728","mask_1008",21,"gt1ra3B73_158-4"
"26","mask_1008_12",-0.783146792918258,-2.17898625562182,5.02907672517686,-4.18506540534493,1008,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-6~0400000008.jpg","early_planting","tb1","no_treatment","290","0.8417234244400748","[[555.44836 363.44357 570.77625 393.03912]]","{'size': [672, 1008], 'counts': b'bW];c0[d03N100O10000101N2N1O1O1N4LXRo8'}","0.8894809","562.5","294.0","False","False","04","08","273-6","06","1204.0","0.25595238095238093","mask_1008",24,"tb1_273-6"
"27","mask_1009_1",-0.747820685126049,-0.0843815805132796,1.25800250986599,1.6412284898924,1009,4,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","2041","0.790506434607109","[[334.56448 130.10736 373.93436 202.84593]]","{'size': [672, 1008], 'counts': b'Qel6>_d08H7H7J7I5L4K5L3N2N2N2O0O2O00001O000000O2O001O1O1O2M3N2M3N2N1N3M2N4L4L7H<Aglo<'}","0.9748302","354.5","504","FALSE","FALSE","5","8","158-4","6","2758","0.586309523809524","mask_1009",21,"gt1ra3B73_158-4"
"28","mask_1009_12",0.833460083526023,0.331685828345479,2.2180689991554,0.154659380469587,1009,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-6~0400000008.jpg","early_planting","tb1","no_treatment","758","0.730584321091691","[[538.9031  149.2436  563.19794 195.10884]]","{'size': [672, 1008], 'counts': b'SVS;b0Vd0<I6L2O2M2O1O0010O011N1O3M5K2N1O0O2O1N3M6IdkS9'}","0.88598055","551.5","500.0","False","False","04","08","273-6","06","2234.0","0.47491496598639454","mask_1009",24,"tb1_273-6"
"29","mask_101_1",-2.19133517278024,3.00690130014012,0.792617034226059,0.891742350160487,101,2,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/defoliated/154-3~0000000008.jpg","early_planting","gt1ra3B73","defoliated","2136","0.830462318265785","[[352.63846 271.49625 394.58185 343.87088]]","{'size': [672, 1008], 'counts': b'acX7i0nc0;K5K4M3M3M3M3M3N2N2N1O2N1000000001O001N10001O1O0O2O1N1O2N1N4L3N2N2M4L4K5J6J;_Oldb<'}","0.99041754","373.5","363.5","FALSE","FALSE","0","8","154-3","4","363.5","0.108035714285714","mask_101",21,"gt1ra3B73_154-3"
"30","mask_101_12",4.65040967313375,3.98297211270859,2.28264253604413,0.501756888710811,101,2,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/gt1ra3B73/defoliated/gt1ra3_266-10~0700000008.jpg","early_planting","gt1ra3B73","defoliated","2498","0.6381910468203464","[[591.63336 221.2672  635.0164  308.2519 ]]","{'size': [672, 1008], 'counts': b'fhT<6ed0=E8I7F6I7POoNl]OT1Rb0SOd]OR1[b0k0O1O001O01O010O1O6J2N2N2N1O2N1O1N10001N101N2O1O2N001O2M2M3M3L5L5K9FhUe7'}","0.9781708","612.5","407.0","False","False","07","08","266-10","09","2990.0","0.44494047619047616","mask_101",24,"gt1ra3B73_266-10"
"31","mask_1010_1",3.93745410191295,-0.52842654403715,2.00990909639154,-1.31227000538363,1010,5,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","1243","0.679290716787263","[[341.63815 221.50247 375.9175  284.9722 ]]","{'size': [672, 1008], 'counts': b'VZQ78>9Xc0i0O3N1O1O2N2O010O01O0O2O0O1O1O101N1O1O1O1O1O3M2N1O2M4M2M4K6J6HfTo<'}","0.9747082","358.5","417.5","FALSE","FALSE","5","8","158-4","6","2239","0.475977891156463","mask_1010",21,"gt1ra3B73_158-4"
"32","mask_1010_12",-0.556870916077046,-0.55063370391104,2.20227938609612,3.0506250193185,1010,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-6~0600000008.jpg","early_planting","tb1","no_treatment","6555","0.6916781971591747","[[567.2048  136.53322 627.78094 274.38995]]","{'size': [672, 1008], 'counts': b'gce;c0Td0c0A>B:G7G9G8G9K4K5L4K5M3M2N2N2M3O1O1N2N2O1O1O1O100O100000000000000000000000000001O00001N2O1N2N4K3L6K4K5J7J7F<D`0[Ok`j7'}","0.9436614","597.0","467.5","False","False","06","08","273-6","06","3006.5","0.639030612244898","mask_1010",24,"tb1_273-6"
"33","mask_1011_1",4.6336654527194,-0.733367479175134,1.22304546319775,0.146287761457208,1011,6,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","1477","0.655854106885694","[[378.17654   21.64952  409.2936    94.784546]]","{'size': [672, 1008], 'counts': b'chh7:^d0c0A9H7J5K5K4M3M2N2N2N100001O1O5K6J3M1O2N001N2N2L4L4L5I7J9E\\QY<'}","0.9734485","393.5","613","FALSE","FALSE","5","8","158-4","6","3412","0.725340136054422","mask_1011",21,"gt1ra3B73_158-4"
"34","mask_1011_12",-5.01409985702255,-2.48866276544145,0.736322949114054,-0.353911745263618,1011,0,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-8~0100000008.jpg","early_planting","tb1","no_treatment","958","0.8464930453007679","[[454.01553  117.183495 486.32968  158.99803 ]]","{'size': [672, 1008], 'counts': b'RRZ9e0Yd03M3O0O1O2N100O1O1O2N10000O110O1O01O001O1O2N2N2N2N2N2N2N2N2M4Lb]f:'}","0.89544725","469.5","535.0","False","False","01","08","273-8","07","804.0","0.14955357142857142","mask_1011",24,"tb1_273-8"
"35","mask_1012_1",2.59457722556884,0.0487733300710033,1.5166558592349,-1.26159250077429,1012,8,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","1840","0.723980197472878","[[369.37582 148.06674 406.8443  221.09825]]","{'size': [672, 1008], 'counts': b'Qob7Q1lc05L4L4L6K4M2M3N2N100O2O01O000O1O1O1O1O1O1O2N1O1O2N2N2N2M3N3M2N3L7I5J9FjkZ<'}","0.96756226","387.5","487.5","FALSE","FALSE","5","8","158-4","6","2659","0.565263605442177","mask_1012",21,"gt1ra3B73_158-4"
"36","mask_1012_12",-2.14500476711016,1.15956838467096,-2.27525366777264,2.90153571985479,1012,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-8~0200000008.jpg","early_planting","tb1","no_treatment","2033","0.7547324217038643","[[550.42737 121.92924 590.93555 191.98886]]","{'size': [672, 1008], 'counts': b'WhY;c0oc0`0H7L4L3M3N2N2O1N2O1O1O1O1O1O100O10000O100000O101O00001K5J5M4K4O2N1J7J6B>J7HQVb8'}","0.9646564","570.0","516.0","False","False","02","08","273-8","07","1282.0","0.23846726190476192","mask_1012",24,"tb1_273-8"
"37","mask_1013_1",3.13356481856986,-3.45871942555578,-0.701853882625924,0.234023614675213,1013,9,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0500000008.jpg","early_planting","gt1ra3B73","no_treatment","1779","0.727510898452598","[[357.37134 306.446   392.46896 379.58484]]","{'size': [672, 1008], 'counts': b'cX[7h0Vd04J6L3L4M4M2N2N2N2M4M1O1N2N3N1M4N100O1000O2O1N4M4L2M3N2M3M4K5J8Hcbd<'}","0.9655318","374","329","FALSE","FALSE","5","8","158-4","6","1708","0.363095238095238","mask_1013",21,"gt1ra3B73_158-4"
"38","mask_1013_12",0.796281191262027,-0.0742150730939064,1.05372947295445,1.79916048109575,1013,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-8~0300000008.jpg","early_planting","tb1","no_treatment","469","0.846192560566816","[[561.68066 335.55753 581.6518  370.90445]]","{'size': [672, 1008], 'counts': b'QUa;?`d01N3N2N1N2N2N2O1O10000001O1O1O2N3M3LRlg8'}","0.94269466","571.0","317.5","False","False","03","08","273-8","07","1004.0","0.18675595238095238","mask_1013",24,"tb1_273-8"
"39","mask_1014_1",0.936827943771457,-1.85492626944767,2.59914771610247,-0.770016950898309,1014,2,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/early_planting/gt1ra3B73/no_treatment/158-4~0600000008.jpg","early_planting","gt1ra3B73","no_treatment","1716","0.724108908028649","[[364.06314 304.1473  397.67447 375.35233]]","{'size': [672, 1008], 'counts': b'Vk_7i0Sd0>A:G6M3L4N1O0O2O1N1O100001O1O1O2N1O1O2N1O1O2N2M3N2M5L4K:E9H7Hnc`<'}","0.9690008","380.5","331.5","FALSE","FALSE","6","8","158-4","6","2054.5","0.436649659863946","mask_1014",21,"gt1ra3B73_158-4"
"40","mask_1014_12",-0.565678985828684,0.690629497676141,3.21691120600311,2.05543575718126,1014,1,"/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/experiments/maize_24UM/data/early_planting/tb1/tb1_273-8~0400000008.jpg","early_planting","tb1","no_treatment","240","0.8271155515626545","[[473.11472 150.68239 486.93503 176.61537]]","{'size': [672, 1008], 'counts': b'nkg9`0\\d06M1O10000001O1N3M3L6IQhe:'}","0.89072126","480.5","508.5","False","False","04","08","273-8","07","2276.5","0.42336309523809523","mask_1014",24,"tb1_273-8"
