treatment,genotype,row number,plant number,tbn, Plant Height (cm),tiller #,Tiller 1 Length (cm),Tiller 2 Length (cm),Tiller 3 Length (cm),Tiller 4 Length (cm),Tiller 5 Length (cm),Tiller 6 Length (cm),Tiller 7 Length (cm),Tiller 8 Length (cm),Tiller 9 Length (cm),,Average Tiller Height (cm),Average tiller height/Plant Height
,gt1ra3B73,283,5,Too small,164,4,28,26,17,17,,,,,,,88.00,0.5365853659
,gt1ra3B73,283,6,5,184,2,13,13,,,,,,,,,26.00,0.1413043478
,gt1ra3B73,283,7,6,190,6,45,25,23,20,19,17,,,,,149.00,0.7842105263
,gt1ra3B73,283,8,5,171,3,26,23,19,,,,,,,,68.00,0.3976608187
,gt1ra3B73,283,9,10,195,7,62,55,46,45,40,31,25,,,,304.00,1.558974359
,,288,1,6,,,,,,,,,,,,,0.00,
,,288,2,4,,,,,,,,,,,,,0.00,
,,288,3,5,,,,,,,,,,,,,,
,,288,4,4,,,,,,,,,,,,,,
,,288,5,Too small,,,,,,,,,,,,,,
,,288,6,4,,,,,,,,,,,,,,
,,288,7,3,,,,,,,,,,,,,,
,,288,8,1,,,,,,,,,,,,,,
,,288,9,5,,,,,,,,,,,,,,
,,288,10,Too small,,,,,,,,,,,,,,
,,289,1,3,,,,,,,,,,,,,,
,,289,2,4,,,,,,,,,,,,,,
,,289,3,3,,,,,,,,,,,,,,
,,289,4,4,,,,,,,,,,,,,,
,,289,5,Too small,,,,,,,,,,,,,,
,,289,6,Too small,,,,,,,,,,,,,,
,,289,7,Too small,,,,,,,,,,,,,,
,,289,8,Too small,,,,,,,,,,,,,,
,,290,1,4,,,,,,,,,,,,,,
,,290,2,4,,,,,,,,,,,,,,
,,290,3,4,,,,,,,,,,,,,,
,,290,4,3,,,,,,,,,,,,,,
,,290,5,4,,,,,,,,,,,,,,
,,290,6,6,,,,,,,,,,,,,,
,,291,1,7,,,,,,,,,,,,,,
,,291,2,6,,,,,,,,,,,,,,
,,291,3,5,,,,,,,,,,,,,,
,,291,4,4,,,,,,,,,,,,,,
,,291,5,5,,,,,,,,,,,,,,
,,291,6,4,,,,,,,,,,,,,,
,,291,7,6,,,,,,,,,,,,,,
,,291,8,5,,,,,,,,,,,,,,
,,291,9,6,,,,,,,,,,,,,,
,,291,10,Too small,,,,,,,,,,,,,,
,,292,1,Too small,,,,,,,,,,,,,,
,,292,2,Too small,,,,,,,,,,,,,,
,,292,3,Too small,,,,,,,,,,,,,,
,,292,4,Too small,,,,,,,,,,,,,,
,,292,5,Too small,,,,,,,,,,,,,,
,,293,1,Too small,,,,,,,,,,,,,,
,,293,2,Too small,,,,,,,,,,,,,,
,,293,3,Too small,,,,,,,,,,,,,,
,,293,4,Too small,,,,,,,,,,,,,,
,,293,5,Too small,,,,,,,,,,,,,,
,,293,6,Too small,,,,,,,,,,,,,,
,,293,7,Too small,,,,,,,,,,,,,,
,,293,8,Too small,,,,,,,,,,,,,,
,,293,9,Too small,,,,,,,,,,,,,,
,,293,10,Too small,,,,,,,,,,,,,,
,,294,1,Too small,,,,,,,,,,,,,,
,,294,2,Too small,,,,,,,,,,,,,,
,,294,3,Too small,,,,,,,,,,,,,,
,,294,4,Too small,,,,,,,,,,,,,,
,,294,5,Too small,,,,,,,,,,,,,,
,,294,6,Too small,,,,,,,,,,,,,,
,,294,7,Too small,,,,,,,,,,,,,,
,,294,8,Too small,,,,,,,,,,,,,,
,,294,9,Too small,,,,,,,,,,,,,,
,,294,10,Too small,,,,,,,,,,,,,,
,,295,1,Too small,,,,,,,,,,,,,,
,,295,2,Too small,,,,,,,,,,,,,,
,,295,3,Too small,,,,,,,,,,,,,,
,,295,4,Too small,,,,,,,,,,,,,,
,,295,5,Too small,,,,,,,,,,,,,,
,,295,6,Too small,,,,,,,,,,,,,,
,,295,7,Too small,,,,,,,,,,,,,,
,,295,8,Too small,,,,,,,,,,,,,,
,,295,9,Too small,,,,,,,,,,,,,,
,,295,10,Too small,,,,,,,,,,,,,,
,,296,1,Too small,,,,,,,,,,,,,,
,,296,2,Too small,,,,,,,,,,,,,,
,,296,3,Too small,,,,,,,,,,,,,,
,,296,4,Too small,,,,,,,,,,,,,,
,,296,5,Too small,,,,,,,,,,,,,,
,,296,6,Too small,,,,,,,,,,,,,,
,,296,7,Too small,,,,,,,,,,,,,,
,,296,8,Too small,,,,,,,,,,,,,,
,,296,9,Too small,,,,,,,,,,,,,,
,,296,10,Too small,,,,,,,,,,,,,,
,,297,1,Too small,,,,,,,,,,,,,,
,,297,2,Too small,,,,,,,,,,,,,,
,,297,3,Too small,,,,,,,,,,,,,,
,,297,4,Too small,,,,,,,,,,,,,,
,,297,5,Too small,,,,,,,,,,,,,,
,,297,6,Too small,,,,,,,,,,,,,,
,,297,7,Too small,,,,,,,,,,,,,,
,,297,8,Too small,,,,,,,,,,,,,,
,,297,9,Too small,,,,,,,,,,,,,,
,,297,10,Too small,,,,,,,,,,,,,,
,,298,1,Too small,,,,,,,,,,,,,,
,,298,2,5,,,,,,,,,,,,,,
,,298,3,Too small,,,,,,,,,,,,,,
,,298,4,Too small,,,,,,,,,,,,,,
,,298,5,5,,,,,,,,,,,,,,
,,298,6,Too small,,,,,,,,,,,,,,
,,298,7,Too small,,,,,,,,,,,,,,
,,298,8,Too small,,,,,,,,,,,,,,
,,298,9,Too small,,,,,,,,,,,,,,
,,299,1,7,,,,,,,,,,,,,,
,,299,2,Too small,,,,,,,,,,,,,,
,,299,3,Too small,,,,,,,,,,,,,,
,,299,4,Too small,,,,,,,,,,,,,,
,,299,5,Too small,,,,,,,,,,,,,,
,,299,6,Too small,,,,,,,,,,,,,,
,,299,7,Too small,,,,,,,,,,,,,,
,,299,8,Too small,,,,,,,,,,,,,,
,,304,1,4,,,,,,,,,,,,,,
,,304,2,Too small,,,,,,,,,,,,,,
,,304,3,Too small,,,,,,,,,,,,,,
,,304,4,Too small,,,,,,,,,,,,,,
,,304,5,4,,,,,,,,,,,,,,
,,304,6,Too small,,,,,,,,,,,,,,
,,304,7,Too small,,,,,,,,,,,,,,
,,305,1,Too small,,,,,,,,,,,,,,
,,305,2,5,,,,,,,,,,,,,,
,,305,3,Too small,,,,,,,,,,,,,,
,,305,4,Too small,,,,,,,,,,,,,,
,,305,5,Too small,,,,,,,,,,,,,,
,,305,6,Too small,,,,,,,,,,,,,,
,,305,7,Too small,,,,,,,,,,,,,,
,,** Row 306,did not grow**,,,,,,,,,,,,,,,
,,307,1,Too small,,,,,,,,,,,,,,
,,307,2,Too small,,,,,,,,,,,,,,
,,307,3,Too small,,,,,,,,,,,,,,
,,307,4,Too small,,,,,,,,,,,,,,
,,307,5,Too small,,,,,,,,,,,,,,
,,307,6,Too small,,,,,,,,,,,,,,
,,307,7,Too small,,,,,,,,,,,,,,
,,307,8,Too small,,,,,,,,,,,,,,
,,307,9,Too small,,,,,,,,,,,,,,
,,308,1,Too small,,,,,,,,,,,,,,
,,308,2,Too small,,,,,,,,,,,,,,
,,308,3,Too small,,,,,,,,,,,,,,
,,308,4,Too small,,,,,,,,,,,,,,
,,308,5,Too small,,,,,,,,,,,,,,
,,308,6,Too small,,,,,,,,,,,,,,
,,308,7,Too small,,,,,,,,,,,,,,
,,308,8,Too small,,,,,,,,,,,,,,
,,308,9,Too small,,,,,,,,,,,,,,
,,308,10,Too small,,,,,,,,,,,,,,
,,309,1,Too small,,,,,,,,,,,,,,
,,309,2,Too small,,,,,,,,,,,,,,
,,309,3,Too small,,,,,,,,,,,,,,
,,309,4,Too small,,,,,,,,,,,,,,
,,309,5,Too small,,,,,,,,,,,,,,
,,309,6,Too small,,,,,,,,,,,,,,
,,309,7,Too small,,,,,,,,,,,,,,
,,309,8,Too small,,,,,,,,,,,,,,
,,309,9,Too small,,,,,,,,,,,,,,
,,309,10,Too small,,,,,,,,,,,,,,
,,310,1,Too small,,,,,,,,,,,,,,
,,310,2,Too small,,,,,,,,,,,,,,
,,310,3,Too small,,,,,,,,,,,,,,
,,310,4,Too small,,,,,,,,,,,,,,
,,310,5,Too small,,,,,,,,,,,,,,
,,310,6,6,,,,,,,,,,,,,,
,,311,1,Too small,,,,,,,,,,,,,,
,,311,2,5,,,,,,,,,,,,,,
,,311,3,9,,,,,,,,,,,,,,
,,311,4,Too small,,,,,,,,,,,,,,
,,311,5,Too small,,,,,,,,,,,,,,
,,311,6,6,,,,,,,,,,,,,,
,,311,7,Too small,,,,,,,,,,,,,,
,,311,8,6,,,,,,,,,,,,,,
,,312,1,6,,,,,,,,,,,,,,
,,312,2,Too small,,,,,,,,,,,,,,
,,312,3,Too small,,,,,,,,,,,,,,
,,312,4,6,,,,,,,,,,,,,,
,,312,5,Too small,,,,,,,,,,,,,,
,,312,6,Too small,,,,,,,,,,,,,,
,,312,7,Too small,,,,,,,,,,,,,,
,,312,8,Too small,,,,,,,,,,,,,,
,,313,1,5,,,,,,,,,,,,,,
,,313,2,Too small,,,,,,,,,,,,,,
,,313,3,11,,,,,,,,,,,,,,
,,313,4,5,,,,,,,,,,,,,,
,,313,5,Too small,,,,,,,,,,,,,,
,,313,6,6,,,,,,,,,,,,,,
,,313,7,Too small,,,,,,,,,,,,,,
,,314,1,8,,,,,,,,,,,,,,
,,314,2,9,,,,,,,,,,,,,,
,,314,3,8,,,,,,,,,,,,,,
,,314,4,6,,,,,,,,,,,,,,
,,314,5,12,,,,,,,,,,,,,,
,,314,6,7,,,,,,,,,,,,,,
,,314,7,8,,,,,,,,,,,,,,
,,314,8,7,,,,,,,,,,,,,,
,,314,9,Too small,,,,,,,,,,,,,,
,,315,1,Too small,,,,,,,,,,,,,,
,,315,2,5,,,,,,,,,,,,,,
,,315,3,7,,,,,,,,,,,,,,
,,315,4,Too small,,,,,,,,,,,,,,
,,315,5,8,,,,,,,,,,,,,,
,,315,6,5,,,,,,,,,,,,,,
,,315,7,8,,,,,,,,,,,,,,
,,315,8,Too small,,,,,,,,,,,,,,
,,315,9,Too small,,,,,,,,,,,,,,
,,315,10,8,,,,,,,,,,,,,,
,,320,1,3,,,,,,,,,,,,,,
,,320,2,4,,,,,,,,,,,,,,
,,320,3,4,,,,,,,,,,,,,,
,,320,4,4,,,,,,,,,,,,,,
,,320,5,3,,,,,,,,,,,,,,
,,320,6,3,,,,,,,,,,,,,,
,,320,7,3,,,,,,,,,,,,,,
,,320,8,Too small,,,,,,,,,,,,,,
,,320,9,Too small,,,,,,,,,,,,,,
,,321,1,Too small,,,,,,,,,,,,,,
,,321,2,Too small,,,,,,,,,,,,,,
,,321,3,Too small,,,,,,,,,,,,,,
,,321,4,3,,,,,,,,,,,,,,
,,321,5,Too small,,,,,,,,,,,,,,
,,321,6,3,,,,,,,,,,,,,,
,,321,7,5,,,,,,,,,,,,,,
,,321,8,Too small,,,,,,,,,,,,,,
,,322,1,Too small,,,,,,,,,,,,,,
,,322,2,Too small,,,,,,,,,,,,,,
,,322,3,4,,,,,,,,,,,,,,
,,322,4,Too small,,,,,,,,,,,,,,
,,322,5,4,,,,,,,,,,,,,,
,,322,6,Too small,,,,,,,,,,,,,,
,,323,1,Too small,,,,,,,,,,,,,,
,,323,2,Too small,,,,,,,,,,,,,,
,,323,3,Too small,,,,,,,,,,,,,,
,,323,4,Too small,,,,,,,,,,,,,,
,,323,5,Too small,,,,,,,,,,,,,,
,,323,6,4,,,,,,,,,,,,,,
